firstname;lastname;username;password;email;city;course1;course2;course3;course4;course5;course6;course7;course8;course9;course10;type1
alumno1;alumno1;josue5p1;pasejos5p1;pasejos5p@gmail.com1;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno2;alumno2;josue5p2;pasejos5p2;pasejos5p@gmail.com2;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno3;alumno3;josue5p3;pasejos5p3;pasejos5p@gmail.com3;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno4;alumno4;josue5p4;pasejos5p4;pasejos5p@gmail.com4;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno5;alumno5;josue5p5;pasejos5p5;pasejos5p@gmail.com5;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno6;alumno6;josue5p6;pasejos5p6;pasejos5p@gmail.com6;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno7;alumno7;josue5p7;pasejos5p7;pasejos5p@gmail.com7;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno8;alumno8;josue5p8;pasejos5p8;pasejos5p@gmail.com8;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno9;alumno9;josue5p9;pasejos5p9;pasejos5p@gmail.com9;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno10;alumno10;josue5p10;pasejos5p10;pasejos5p@gmail.com10;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno11;alumno11;josue5p11;pasejos5p11;pasejos5p@gmail.com11;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno12;alumno12;josue5p12;pasejos5p12;pasejos5p@gmail.com12;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno13;alumno13;josue5p13;pasejos5p13;pasejos5p@gmail.com13;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno14;alumno14;josue5p14;pasejos5p14;pasejos5p@gmail.com14;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno15;alumno15;josue5p15;pasejos5p15;pasejos5p@gmail.com15;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno16;alumno16;josue5p16;pasejos5p16;pasejos5p@gmail.com16;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno17;alumno17;josue5p17;pasejos5p17;pasejos5p@gmail.com17;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno18;alumno18;josue5p18;pasejos5p18;pasejos5p@gmail.com18;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno19;alumno19;josue5p19;pasejos5p19;pasejos5p@gmail.com19;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno20;alumno20;josue5p20;pasejos5p20;pasejos5p@gmail.com20;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno21;alumno21;josue5p21;pasejos5p21;pasejos5p@gmail.com21;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
alumno22;alumno22;josue5p22;pasejos5p22;pasejos5p@gmail.com22;guatemala;CL5P19;formam5p;comput5p.;robot5p;comput5p;ingles5p;ciensoc5p;ciencia5p;comuni5p;mat5p;1
